               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11503,            0.071656,                   0,               0.005,                0.25,           0.0039372,          0.00068849,             0.11628,            0.056267,                   0,              0.0775,              0.0025,              0.0025
                   1,             0.10207,            0.060427,                   0,           0.0041667,             0.20833,           0.0041719,          0.00064589,             0.10748,            0.060997,                   0,            0.054097,           0.0050975,           0.0050975
                   2,            0.099994,            0.073197,                   0,           0.0058333,             0.29167,            0.010838,           0.0016583,            0.096017,            0.068199,                   0,            0.030692,           0.0076924,           0.0076924
                   3,            0.099401,            0.082174,                   0,           0.0058333,             0.29167,           0.0072389,           0.0010284,            0.088323,            0.072662,                   0,           0.0099851,           0.0099851,           0.0099851
                   4,            0.094628,            0.066286,                   0,                0.01,                 0.5,           0.0089626,           0.0025394,            0.086236,            0.072754,                   0,           0.0099851,           0.0099851,           0.0099851
                   5,            0.097182,            0.069777,                   0,            0.013333,             0.66667,            0.041619,           0.0067032,            0.083626,            0.072968,                   0,           0.0099802,           0.0099802,           0.0099802
                   6,            0.095343,            0.077154,                   0,            0.015833,             0.79167,             0.05387,            0.011798,            0.080826,            0.073479,                   0,           0.0099753,           0.0099753,           0.0099753
                   7,            0.096136,            0.070642,                   0,             0.07486,             0.20833,            0.071672,            0.015822,            0.083408,            0.067574,                   0,           0.0099703,           0.0099703,           0.0099703
                   8,             0.09884,            0.071362,                   0,             0.07486,             0.20833,            0.071672,            0.015822,            0.083408,            0.067574,                   0,           0.0099654,           0.0099654,           0.0099654
                   9,            0.094283,            0.069242,                   0,             0.15248,             0.16667,            0.098271,            0.029024,            0.079378,            0.068367,                   0,           0.0099604,           0.0099604,           0.0099604
                  10,               0.089,            0.064163,                   0,             0.32601,             0.29167,              0.2297,            0.045178,            0.073672,             0.07093,                   0,           0.0099555,           0.0099555,           0.0099555
                  11,            0.085238,            0.069901,                   0,             0.27424,             0.20833,             0.23923,             0.08489,            0.076602,             0.06588,                   0,           0.0099505,           0.0099505,           0.0099505
                  12,            0.087765,              0.0721,                   0,             0.12778,                0.25,             0.11182,            0.036921,            0.077083,            0.066856,                   0,           0.0099456,           0.0099456,           0.0099456
                  13,            0.085774,            0.053192,                   0,             0.12778,                0.25,             0.11182,            0.036921,            0.077083,            0.066856,                   0,           0.0099406,           0.0099406,           0.0099406
                  14,            0.090038,             0.05742,                   0,             0.56943,            0.041667,            0.079532,            0.023201,            0.078036,            0.065994,                   0,           0.0099357,           0.0099357,           0.0099357
                  15,            0.083767,            0.054847,                   0,             0.22639,             0.41667,             0.20161,            0.049098,            0.072802,            0.066193,                   0,           0.0099307,           0.0099307,           0.0099307
                  16,            0.091542,            0.054603,                   0,             0.05229,             0.33333,            0.088524,            0.020551,             0.07875,            0.060043,                   0,           0.0099258,           0.0099258,           0.0099258
                  17,            0.090565,            0.060493,                   0,            0.078665,               0.375,            0.086628,            0.027962,            0.075064,            0.060478,                   0,           0.0099208,           0.0099208,           0.0099208
                  18,            0.087896,            0.054522,                   0,            0.078665,               0.375,            0.086628,            0.027962,            0.075064,            0.060478,                   0,           0.0099159,           0.0099159,           0.0099159
                  19,            0.094225,            0.053009,                   0,            0.050517,             0.29167,            0.050995,            0.014358,            0.081877,            0.055298,                   0,           0.0099109,           0.0099109,           0.0099109
                  20,            0.086657,            0.057028,                   0,            0.098878,               0.375,             0.10492,            0.028278,            0.073019,             0.06234,                   0,            0.009906,            0.009906,            0.009906
                  21,            0.082848,            0.055985,                   0,            0.099882,                 0.5,             0.10999,            0.024224,            0.073262,            0.060486,                   0,            0.009901,            0.009901,            0.009901
                  22,            0.080724,            0.069094,                   0,             0.33652,              0.4441,             0.34371,             0.10957,            0.066105,            0.061882,                   0,           0.0098961,           0.0098961,           0.0098961
                  23,            0.078204,             0.06007,                   0,             0.23331,               0.125,             0.16503,             0.03304,            0.080085,            0.053192,                   0,           0.0098911,           0.0098911,           0.0098911
                  24,            0.088005,            0.051055,                   0,             0.23331,               0.125,             0.16503,             0.03304,            0.080085,            0.053192,                   0,           0.0098861,           0.0098861,           0.0098861
                  25,            0.087261,            0.055192,                   0,             0.48694,             0.20833,             0.24674,            0.067747,              0.0781,            0.054039,                   0,           0.0098812,           0.0098812,           0.0098812
                  26,            0.076807,            0.053903,                   0,              0.2846,             0.45833,              0.3321,            0.093766,            0.064367,            0.059624,                   0,           0.0098763,           0.0098763,           0.0098763
                  27,            0.075764,            0.055849,                   0,             0.20578,             0.25933,             0.15385,            0.043417,            0.065347,            0.056999,                   0,           0.0098713,           0.0098713,           0.0098713
                  28,            0.075025,            0.051161,                   0,             0.25412,               0.625,             0.30869,              0.1104,            0.066043,            0.056778,                   0,           0.0098664,           0.0098664,           0.0098664
                  29,            0.071389,            0.049092,                   0,             0.25412,               0.625,             0.30869,              0.1104,            0.066043,            0.056778,                   0,           0.0098614,           0.0098614,           0.0098614
                  30,            0.077445,            0.067769,                   0,             0.32177,             0.54167,             0.33826,              0.1348,            0.068867,            0.053391,                   0,           0.0098565,           0.0098565,           0.0098565
                  31,             0.07152,            0.062566,                   0,             0.74768,             0.58333,             0.64687,             0.29116,            0.060647,            0.054558,                   0,           0.0098515,           0.0098515,           0.0098515
                  32,            0.069303,            0.049268,                   0,             0.29627,             0.45833,             0.27043,            0.099211,            0.065118,            0.056671,                   0,           0.0098466,           0.0098466,           0.0098466
                  33,            0.069115,            0.064541,                   0,             0.37665,               0.625,             0.39682,             0.17626,            0.055559,            0.057869,                   0,           0.0098416,           0.0098416,           0.0098416
                  34,            0.066144,            0.053873,                   0,             0.37665,               0.625,             0.39682,             0.17626,            0.055559,            0.057869,                   0,           0.0098367,           0.0098367,           0.0098367
                  35,             0.07834,            0.058266,                   0,             0.43215,             0.54167,             0.37937,             0.13079,            0.061304,            0.056953,                   0,           0.0098317,           0.0098317,           0.0098317
                  36,            0.072044,            0.057663,                   0,             0.49279,               0.625,             0.51321,             0.28041,            0.056637,            0.058815,                   0,           0.0098268,           0.0098268,           0.0098268
                  37,            0.071178,            0.050422,                   0,             0.68293,             0.62835,             0.66102,             0.30876,            0.058473,               0.055,                   0,           0.0098218,           0.0098218,           0.0098218
                  38,            0.066686,            0.051758,                   0,             0.79747,             0.65664,             0.68242,             0.35194,            0.056341,            0.052658,                   0,           0.0098169,           0.0098169,           0.0098169
                  39,            0.069635,            0.053825,                   0,             0.59784,                 0.5,             0.55067,             0.14516,            0.057112,             0.05545,                   0,           0.0098119,           0.0098119,           0.0098119
                  40,            0.073416,            0.055268,                   0,             0.59784,                 0.5,             0.55067,             0.14516,            0.057112,             0.05545,                   0,            0.009807,            0.009807,            0.009807
                  41,            0.067034,            0.051015,                   0,             0.65925,               0.625,             0.65326,             0.26883,            0.052724,            0.053192,                   0,            0.009802,            0.009802,            0.009802
                  42,            0.064372,             0.06195,                   0,             0.76062,               0.625,             0.64998,             0.25871,            0.051284,            0.050713,                   0,            0.009797,            0.009797,            0.009797
                  43,            0.063745,            0.053795,                   0,             0.33589,               0.625,             0.43607,             0.21463,            0.057621,             0.04847,                   0,           0.0097921,           0.0097921,           0.0097921
                  44,            0.066051,            0.053745,                   0,             0.67957,               0.625,              0.6953,             0.35348,             0.05102,            0.054886,                   0,           0.0097871,           0.0097871,           0.0097871
                  45,            0.062294,            0.050802,                   0,             0.67957,               0.625,              0.6953,             0.35348,             0.05102,            0.054886,                   0,           0.0097822,           0.0097822,           0.0097822
                  46,            0.063758,            0.048486,                   0,             0.68912,               0.647,             0.70999,             0.37749,            0.052769,            0.054985,                   0,           0.0097773,           0.0097773,           0.0097773
                  47,            0.061273,            0.055677,                   0,             0.89262,             0.69326,             0.79903,             0.42128,            0.047528,            0.054245,                   0,           0.0097723,           0.0097723,           0.0097723
                  48,            0.055214,            0.057694,                   0,             0.85803,               0.625,              0.7715,             0.34744,            0.040519,             0.05407,                   0,           0.0097674,           0.0097674,           0.0097674
                  49,            0.052072,            0.051688,                   0,              0.4552,               0.625,             0.52164,              0.1903,            0.049331,            0.050369,                   0,           0.0097624,           0.0097624,           0.0097624
                  50,            0.058453,            0.051864,                   0,              0.4552,               0.625,             0.52164,              0.1903,            0.049331,            0.050369,                   0,           0.0097575,           0.0097575,           0.0097575
                  51,             0.06279,            0.063138,                   0,             0.31269,             0.58333,             0.32244,            0.091431,            0.058682,            0.055359,                   0,           0.0097525,           0.0097525,           0.0097525
                  52,            0.054996,            0.054982,                   0,             0.59169,             0.58333,             0.65354,             0.33844,            0.045272,             0.05191,                   0,           0.0097476,           0.0097476,           0.0097476
                  53,            0.051405,             0.06016,                   0,             0.55072,             0.66406,              0.5651,             0.23961,             0.04078,            0.052498,                   0,           0.0097426,           0.0097426,           0.0097426
                  54,            0.055525,             0.05188,                   0,             0.38956,             0.45833,             0.39796,             0.18662,            0.065172,            0.045235,                   0,           0.0097377,           0.0097377,           0.0097377
                  55,            0.071301,            0.050743,                   0,             0.69181,             0.66667,             0.79096,             0.33816,              0.0443,            0.052788,                   0,           0.0097327,           0.0097327,           0.0097327
                  56,            0.053189,            0.050575,                   0,             0.69181,             0.66667,             0.79096,             0.33816,              0.0443,            0.052788,                   0,           0.0097278,           0.0097278,           0.0097278
                  57,            0.052898,             0.06003,                   0,             0.78233,             0.74882,             0.83323,             0.36214,            0.042865,            0.054985,                   0,           0.0097228,           0.0097228,           0.0097228
                  58,            0.050936,            0.055869,                   0,              0.5652,             0.79167,             0.77588,             0.39109,             0.03949,            0.051895,                   0,           0.0097179,           0.0097179,           0.0097179
                  59,            0.048299,            0.052102,                   0,             0.85553,             0.74061,             0.86878,             0.41425,             0.04103,            0.046387,                   0,           0.0097129,           0.0097129,           0.0097129
                  60,            0.051279,            0.046727,                   0,             0.26431,               0.625,              0.2761,            0.099762,            0.070856,            0.042191,                   0,            0.009708,            0.009708,            0.009708
                  61,            0.072868,            0.047414,                   0,             0.26431,               0.625,              0.2761,            0.099762,            0.070856,            0.042191,                   0,            0.009703,            0.009703,            0.009703
                  62,            0.079559,            0.044111,                   0,             0.20114,             0.70833,              0.1979,            0.077756,            0.076201,            0.041702,                   0,            0.009698,            0.009698,            0.009698
                  63,            0.062734,            0.052947,                   0,             0.53734,                0.75,              0.6247,             0.28654,            0.046992,            0.049179,                   0,           0.0096931,           0.0096931,           0.0096931
                  64,            0.054073,            0.051227,                   0,             0.55718,                0.75,              0.6542,             0.30668,            0.050471,            0.047783,                   0,           0.0096881,           0.0096881,           0.0096881
                  65,            0.058086,            0.047776,                   0,             0.50992,             0.79167,             0.72226,             0.41262,             0.03637,             0.04789,                   0,           0.0096832,           0.0096832,           0.0096832
                  66,            0.048415,            0.056717,                   0,             0.50992,             0.79167,             0.72226,             0.41262,             0.03637,             0.04789,                   0,           0.0096783,           0.0096783,           0.0096783
                  67,            0.052872,            0.049099,                   0,             0.43612,             0.70833,              0.6536,             0.37383,            0.039575,            0.049873,                   0,           0.0096733,           0.0096733,           0.0096733
                  68,            0.048506,            0.055652,                   0,             0.76679,               0.625,             0.77207,             0.46694,            0.036033,            0.049667,                   0,           0.0096684,           0.0096684,           0.0096684
                  69,            0.039164,            0.048208,                   0,              0.5837,              0.8182,              0.8174,             0.52716,            0.034773,            0.048203,                   0,           0.0096634,           0.0096634,           0.0096634
                  70,            0.042792,            0.043777,                   0,              0.5016,              0.5872,             0.58826,             0.29597,            0.040165,             0.04998,                   0,           0.0096585,           0.0096585,           0.0096585
                  71,            0.048271,            0.057174,                   0,             0.67095,             0.58333,             0.67434,             0.30032,            0.042986,            0.059174,                   0,           0.0096535,           0.0096535,           0.0096535
                  72,            0.049993,             0.04605,                   0,             0.67095,             0.58333,             0.67434,             0.30032,            0.042986,            0.059174,                   0,           0.0096486,           0.0096486,           0.0096486
                  73,            0.047812,            0.052443,                   0,             0.62141,             0.61583,             0.61379,             0.28798,            0.044312,            0.061722,                   0,           0.0096436,           0.0096436,           0.0096436
                  74,            0.046211,            0.044903,                   0,             0.67529,             0.60705,             0.65038,             0.38848,            0.038127,            0.063423,                   0,           0.0096387,           0.0096387,           0.0096387
                  75,            0.040462,            0.047548,                   0,             0.83198,             0.66667,             0.80721,              0.4308,            0.035934,            0.053886,                   0,           0.0096337,           0.0096337,           0.0096337
                  76,            0.042171,            0.052124,                   0,             0.42655,             0.54167,             0.47793,             0.22326,            0.047248,            0.050461,                   0,           0.0096288,           0.0096288,           0.0096288
                  77,            0.057038,            0.047198,                   0,             0.42655,             0.54167,             0.47793,             0.22326,            0.047248,            0.050461,                   0,           0.0096238,           0.0096238,           0.0096238
                  78,            0.062267,            0.050779,                   0,             0.41686,             0.41667,             0.42744,             0.15694,            0.053804,            0.050316,                   0,           0.0096188,           0.0096188,           0.0096188
                  79,            0.056061,            0.046364,                   0,             0.46938,                 0.5,             0.54993,              0.2545,            0.047522,            0.055878,                   0,           0.0096139,           0.0096139,           0.0096139
                  80,            0.047542,            0.044596,                   0,             0.73529,             0.57892,             0.65173,             0.36205,            0.039598,            0.065025,                   0,            0.009609,            0.009609,            0.009609
                  81,            0.044058,            0.048173,                   0,             0.80316,             0.58333,             0.71148,             0.31487,            0.041171,            0.057739,                   0,            0.009604,            0.009604,            0.009604
                  82,            0.044676,            0.042713,                   0,             0.80316,             0.58333,             0.71148,             0.31487,            0.041171,            0.057739,                   0,            0.009599,            0.009599,            0.009599
                  83,            0.054744,            0.037087,                   0,             0.80855,             0.54167,             0.57856,             0.19856,            0.049907,             0.05674,                   0,           0.0095941,           0.0095941,           0.0095941
                  84,            0.047512,              0.0464,                   0,             0.57994,             0.51821,             0.60995,             0.29068,            0.044049,            0.056419,                   0,           0.0095892,           0.0095892,           0.0095892
                  85,            0.045508,            0.048904,                   0,              0.7454,               0.625,             0.71229,             0.39788,            0.038476,            0.059975,                   0,           0.0095842,           0.0095842,           0.0095842
                  86,            0.041985,             0.04691,                   0,             0.69074,             0.65186,             0.66391,             0.31358,            0.043124,            0.063889,                   0,           0.0095793,           0.0095793,           0.0095793
                  87,            0.047302,            0.045763,                   0,             0.70841,               0.625,             0.71437,             0.36374,            0.041194,            0.059288,                   0,           0.0095743,           0.0095743,           0.0095743
                  88,            0.041637,            0.038301,                   0,             0.70841,               0.625,             0.71437,             0.36374,            0.041194,            0.059288,                   0,           0.0095694,           0.0095694,           0.0095694
                  89,            0.042798,            0.042822,                   0,             0.71482,               0.625,             0.72032,             0.36895,            0.041233,             0.05687,                   0,           0.0095644,           0.0095644,           0.0095644
                  90,            0.044474,            0.051649,                   0,             0.90911,             0.58333,             0.79308,             0.44982,            0.034866,            0.054657,                   0,           0.0095595,           0.0095595,           0.0095595
                  91,            0.040327,            0.040231,                   0,             0.73461,               0.625,             0.73524,             0.43105,            0.038365,            0.056122,                   0,           0.0095545,           0.0095545,           0.0095545
                  92,            0.045051,            0.047214,                   0,             0.77432,             0.58333,             0.71574,             0.29757,            0.046662,            0.054108,                   0,           0.0095496,           0.0095496,           0.0095496
                  93,            0.055678,              0.0464,                   0,             0.77432,             0.58333,             0.71574,             0.29757,            0.046662,            0.054108,                   0,           0.0095446,           0.0095446,           0.0095446
                  94,            0.059601,             0.04665,                   0,              0.6639,             0.54167,             0.58458,             0.26511,            0.049415,            0.056168,                   0,           0.0095397,           0.0095397,           0.0095397
                  95,            0.047465,            0.043044,                   0,             0.79159,             0.58333,             0.68902,             0.38574,            0.036577,            0.063103,                   0,           0.0095347,           0.0095347,           0.0095347
                  96,            0.042038,            0.040304,                   0,             0.61052,             0.58333,             0.58976,             0.33274,            0.038576,            0.061012,                   0,           0.0095298,           0.0095298,           0.0095298
                  97,             0.04151,            0.046588,                   0,             0.78606,             0.58333,             0.68152,             0.41603,             0.03626,            0.061722,                   0,           0.0095248,           0.0095248,           0.0095248
                  98,            0.037676,             0.03743,                   0,             0.78606,             0.58333,             0.68152,             0.41603,             0.03626,            0.061722,                   0,           0.0095198,           0.0095198,           0.0095198
                  99,            0.040651,            0.042781,                   0,             0.64754,             0.61279,             0.59457,             0.32802,            0.040971,            0.060661,                   0,           0.0095149,           0.0095149,           0.0095149
                 100,             0.03664,            0.041096,                   0,             0.78922,               0.625,             0.65462,             0.42691,            0.036099,             0.06517,                   0,             0.00951,             0.00951,             0.00951
                 101,            0.035036,            0.038288,                   0,             0.82905,               0.625,             0.71206,             0.39749,            0.036515,            0.064926,                   0,            0.009505,            0.009505,            0.009505
                 102,            0.035206,            0.037927,                   0,             0.77439,               0.625,             0.75612,             0.47964,            0.033759,            0.064362,                   0,              0.0095,              0.0095,              0.0095
                 103,            0.038813,            0.046534,                   0,             0.64378,             0.60287,             0.62884,             0.29558,            0.042581,            0.064568,                   0,           0.0094951,           0.0094951,           0.0094951
                 104,            0.047635,            0.038752,                   0,             0.64378,             0.60287,             0.62884,             0.29558,            0.042581,            0.064568,                   0,           0.0094902,           0.0094902,           0.0094902
                 105,            0.045993,            0.044872,                   0,             0.72051,             0.58333,             0.66999,              0.3502,            0.042991,            0.059402,                   0,           0.0094852,           0.0094852,           0.0094852
